Comunidad;Provincia;Población;Latitud;Longitud;Altitud;Habitantes;Hombres;Mujeres
Andalucía;Almería;Adra;36.74807;-3.022522;10.97898;24373;12338;12035
Andalucía;Almería;Albox;37.38979;-2.147483;426.4268;11178;5731;5447
Andalucía;Almería;Almería;36.84016;-2.467922;27.00703;188810;92396;96414
Andalucía;Almería;Berja;36.84644;-2.949425;340.7863;15035;7542;7493
Andalucía;Almería;Cuevas del Almanzora;37.29709;-1.881476;97.29103;13025;6819;6206
Andalucía;Almería;Ejido (El);36.77506;-2.812738;80;84227;47263;36964
Andalucía;Almería;Huércal-Overa;37.39063;-1.943684;284.6117;17645;8800;8845
Andalucía;Almería;Huércal de Almería;36.88415;-2.435978;72.52909;14937;7623;7314
Andalucía;Almería;Níjar;36.96576;-2.20651;353.1248;26516;14653;11863
Andalucía;Almería;Roquetas de Mar;36.76427;-2.614935;11.84886;82665;43095;39570
Andalucía;Almería;Vera;37.24686;-1.868238;102.0657;13985;7182;6803
Andalucía;Almería;Vícar;36.83145;-2.642515;276.2602;22853;12114;10739
Andalucía;Cádiz;Algeciras;36.12978;-5.447698;22.40544;116209;57582;58627
Andalucía;Cádiz;Arcos de la Frontera;36.75078;-5.812395;139.2057;31210;15642;15568
Andalucía;Cádiz;Barbate;36.19282;-5.918903;15.97273;22912;11447;11465
Andalucía;Cádiz;Barrios (Los);36.18539;-5.492747;25.33697;22311;11258;11053
Andalucía;Cádiz;Cádiz;36.52969;-6.292657;15.42415;126766;60289;66477
Andalucía;Cádiz;Chiclana de la Frontera;36.41915;-6.149412;13.2455;77293;39050;38243
Andalucía;Cádiz;Chipiona;36.7408;-6.43587;11.72497;18583;9307;9276
Andalucía;Cádiz;Conil de la Frontera;36.27675;-6.088436;33.70992;20984;10628;10356
Andalucía;Cádiz;Jerez de la Frontera;36.68656;-6.137173;55.74849;207532;101542;105990
Andalucía;Cádiz;Jimena de la Frontera;36.43404;-5.453479;131.443;10431;5399;5032
Andalucía;Cádiz;Línea de la Concepción (La);36.16118;-5.348256;10.4049;64595;31947;32648
Andalucía;Cádiz;Medina-Sidonia;36.46768;-5.927894;246.0372;11683;6010;5673
Andalucía;Cádiz;Puerto de Santa María (El);36.59695;-6.227526;14.76373;87696;43320;44376
Andalucía;Cádiz;Puerto Real;36.52912;-6.191895;11.78617;40183;20271;19912
Andalucía;Cádiz;Rota;36.61699;-6.358202;14.28653;28516;14300;14216
Andalucía;Cádiz;San Fernando;36.46572;-6.196626;21.14313;96366;47536;48830
Andalucía;Cádiz;San Roque;36.20975;-5.384572;106.1072;29249;14793;14456
Andalucía;Cádiz;Sanlúcar de Barrameda;36.77882;-6.354198;11.0011;65805;32843;32962
Andalucía;Cádiz;Tarifa;36.01271;-5.602954;14.66109;17793;9079;8714
Andalucía;Cádiz;Ubrique;36.67771;-5.446557;326.7233;16979;8362;8617
Andalucía;Cádiz;Vejer de la Frontera;36.25331;-5.962856;178.6806;12973;6548;6425
Andalucía;Cádiz;Villamartín;36.86132;-5.641834;167.8091;12526;6245;6281
Andalucía;Córdoba;Aguilar de la Frontera;37.51503;-4.656057;374.5963;13746;6891;6855
Andalucía;Córdoba;Baena;37.61441;-4.326089;432.8641;20915;10589;10326
Andalucía;Córdoba;Cabra;37.47437;-4.425931;503.6198;21352;10482;10870
Andalucía;Córdoba;Carlota (La);37.67361;-4.932553;215.4566;13182;6616;6566
Andalucía;Córdoba;Córdoba;37.88473;-4.779152;131.9102;328428;158233;170195
Andalucía;Córdoba;Fuente Palmera;37.70319;-5.103904;160.0771;10788;5437;5351
Andalucía;Córdoba;Lucena;37.40873;-4.485598;494.1765;42248;21082;21166
Andalucía;Córdoba;Montilla;37.58963;-4.638313;385.7791;23840;11822;12018
Andalucía;Córdoba;Palma del Río;37.70163;-5.283767;60.91507;21588;10812;10776
Andalucía;Córdoba;Peñarroya-Pueblonuevo;38.30304;-5.272851;541.6902;11883;5741;6142
Andalucía;Córdoba;Pozoblanco;38.37742;-4.848376;652.3784;17669;8671;8998
Andalucía;Córdoba;Priego de Córdoba;37.4389;-4.194839;657.6609;23513;11576;11937
Andalucía;Córdoba;Puente Genil;37.39051;-4.770465;219.0715;30033;14927;15106
Andalucía;Córdoba;Rute;37.32587;-4.371301;632.5386;10559;5276;5283
Andalucía;Granada;Albolote;37.23085;-3.657415;650.2138;17089;8583;8506
Andalucía;Granada;Almuñécar;36.73454;-3.690736;24.01802;27696;13677;14019
Andalucía;Granada;Armilla;37.1401;-3.617981;671.618;21380;10836;10544
Andalucía;Granada;Atarfe;37.2229;-3.687416;604.92;15399;7787;7612
Andalucía;Granada;Baza;37.49065;-2.774473;850.2978;23359;11672;11687
Andalucía;Granada;Churriana de la Vega;37.14777;-3.64595;657.35;12001;5989;6012
Andalucía;Granada;Gabias (Las);37.135;-3.698333;703.1069;16369;8466;7903
Andalucía;Granada;Granada;37.17649;-3.597929;697.486;234325;108745;125580
Andalucía;Granada;Guadix;37.3004;-3.134583;919.4025;20395;10132;10263
Andalucía;Granada;Huétor Vega;37.15238;-3.575904;739.9867;11324;5699;5625
Andalucía;Granada;Illora;37.28843;-3.879782;775.8689;10440;5207;5233
Andalucía;Granada;Loja;37.16884;-4.151471;456.7311;21574;10825;10749
Andalucía;Granada;Maracena;37.20568;-3.636805;649.4002;20815;10323;10492
Andalucía;Granada;Motril;36.74467;-3.516718;41.48437;60279;29907;30372
Andalucía;Granada;Ogíjares;37.11991;-3.607937;721.7737;13119;6610;6509
Andalucía;Granada;Peligros;37.23122;-3.629415;687.5328;10910;5545;5365
Andalucía;Granada;Pinos Puente;37.25146;-3.750995;575.2888;13515;6863;6652
Andalucía;Granada;Salobreña;36.74626;-3.587108;20.95912;12747;6372;6375
Andalucía;Granada;Santa Fe;37.18936;-3.719076;582.6545;15430;7643;7787
Andalucía;Granada;Zubia (La);37.12061;-3.584668;744.7736;17803;8810;8993
Andalucía;Huelva;Aljaraque;37.27111;-7.021585;36.69819;17960;8981;8979
Andalucía;Huelva;Almonte;37.26254;-6.51724;77.07417;21782;10883;10899
Andalucía;Huelva;Ayamonte;37.21466;-7.409819;3.156081;20334;10250;10084
Andalucía;Huelva;Bollullos Par del Condado;37.33615;-6.535758;116.0159;13891;6912;6979
Andalucía;Huelva;Cartaya;37.28314;-7.154979;24.17416;17905;9198;8707
Andalucía;Huelva;Gibraleón;37.37495;-6.970141;29.21607;12258;6156;6102
Andalucía;Huelva;Huelva;37.2571;-6.949555;20.74414;148806;71983;76823
Andalucía;Huelva;Isla Cristina;37.19943;-7.325246;6.336774;21324;10700;10624
Andalucía;Huelva;Lepe;37.25432;-7.203348;24.5359;25886;13332;12554
Andalucía;Huelva;Moguer;37.27469;-6.836591;53.91101;19569;9832;9737
Andalucía;Huelva;Palma del Condado (La);37.38784;-6.5534;96.01058;10404;5185;5219
Andalucía;Huelva;Punta Umbría;37.18248;-6.967148;7.50116;14708;7493;7215
Andalucía;Huelva;Valverde del Camino;37.57339;-6.753376;282.4763;12780;6242;6538
Andalucía;Jaén;Alcalá la Real;37.46358;-3.925078;929.4698;22783;11343;11440
Andalucía;Jaén;Alcaudete;37.59106;-4.086735;660.8123;11135;5522;5613
Andalucía;Jaén;Andújar;38.03675;-4.054391;215.333;39111;19305;19806
Andalucía;Jaén;Baeza;37.99343;-3.469237;759.475;16253;8062;8191
Andalucía;Jaén;Bailén;38.09588;-3.774859;350.999;18785;9497;9288
Andalucía;Jaén;Carolina (La);38.27468;-3.615412;598.452;15880;7832;8048
Andalucía;Jaén;Jaén;37.76574;-3.789518;576.3939;116557;56348;60209
Andalucía;Jaén;Jódar;37.84398;-3.352545;650.8392;12157;6027;6130
Andalucía;Jaén;Linares;38.09362;-3.635844;410.825;61338;30067;31271
Andalucía;Jaén;Mancha Real;37.78617;-3.612393;759.8338;10972;5533;5439
Andalucía;Jaén;Martos;37.72278;-3.966259;739.3722;24655;12106;12549
Andalucía;Jaén;Torre del Campo;37.77657;-3.895521;627.6521;14627;7377;7250
Andalucía;Jaén;Torredonjimeno;37.76543;-3.959263;585.9095;14181;6999;7182
Andalucía;Jaén;Úbeda;38.00809;-3.368519;737.4617;35649;17489;18160
Andalucía;Jaén;Villacarrillo;38.11541;-3.087194;793.0148;11294;5700;5594
Andalucía;Málaga;Alhaurín de la Torre;36.66836;-4.552967;55.9206;35114;17562;17552
Andalucía;Málaga;Alhaurín el Grande;36.64186;-4.691447;262.0032;23319;11730;11589
Andalucía;Málaga;Álora;36.82264;-4.706715;217.7383;13395;6763;6632
Andalucía;Málaga;Antequera;37.01938;-4.562885;519.31;45168;22257;22911
Andalucía;Málaga;Benalmádena;36.59523;-4.573368;246.0654;58854;29111;29743
Andalucía;Málaga;Cártama;36.71131;-4.630741;103.493;21313;10895;10418
Andalucía;Málaga;Coín;36.65871;-4.760344;212.3918;21866;11231;10635
Andalucía;Málaga;Estepona;36.42477;-5.144903;9.655864;65592;32976;32616
Andalucía;Málaga;Fuengirola;36.53901;-4.624353;9.702183;71482;35339;36143
Andalucía;Málaga;Málaga;36.71965;-4.420019;20.76588;568305;274209;294096
Andalucía;Málaga;Manilva;36.37706;-5.249271;135.0445;13813;7249;6564
Andalucía;Málaga;Marbella;36.50994;-4.886352;23.81581;134623;65808;68815
Andalucía;Málaga;Mijas;36.5957;-4.637619;421.1643;73787;37063;36724
Andalucía;Málaga;Nerja;36.74503;-3.876649;25.00439;21811;10824;10987
Andalucía;Málaga;Rincón de la Victoria;36.71566;-4.275504;3.764837;38666;19178;19488
Andalucía;Málaga;Ronda;36.74196;-5.166412;721.0318;36827;18124;18703
Andalucía;Málaga;Torremolinos;36.62179;-4.500273;52.33766;65448;32845;32603
Andalucía;Málaga;Torrox;36.75845;-3.952617;146.8773;16890;8466;8424
Andalucía;Málaga;Vélez-Málaga;36.77864;-4.100675;55.92748;74190;37038;37152
